row,col,x,y,z
149,3,-1.98,1.86,0
150,3,-2.02,1.86,0
151,3,-2.06,1.86,0
152,3,-2.1,1.86,0
153,3,-2.14,1.86,0
154,3,-2.18,1.86,0
155,3,-2.22,1.86,0
156,3,-2.26,1.86,0
157,3,-2.3,1.86,0
158,3,-2.34,1.86,0
159,3,-2.38,1.86,0
160,3,-2.42,1.86,0
161,3,-2.46,1.86,0
162,3,-2.5,1.86,0
163,3,-2.54,1.86,0
164,3,-2.58,1.86,0
165,3,-2.62,1.86,0
166,3,-2.66,1.86,0
167,3,-2.7,1.86,0
168,3,-2.74,1.86,0
169,3,-2.78,1.86,0
170,3,-2.82,1.86,0
171,3,-2.86,1.86,0
172,3,-2.9,1.86,0
173,3,-2.94,1.86,0
174,3,-2.98,1.86,0
175,3,-3.02,1.86,0
176,3,-3.06,1.86,0
177,3,-3.1,1.86,0
178,3,-3.14,1.86,0
179,3,-3.18,1.86,0
180,3,-3.22,1.86,0
181,3,-3.26,1.86,0
182,3,-3.3,1.86,0
183,3,-3.34,1.86,0
184,3,-3.38,1.86,0
185,3,-3.42,1.86,0
186,3,-3.46,1.86,0
187,3,-3.5,1.86,0
188,3,-3.54,1.86,0
189,3,-3.58,1.86,0
190,3,-3.62,1.86,0
191,3,-3.66,1.86,0
192,3,-3.7,1.86,0
193,3,-3.74,1.86,0
194,3,-3.78,1.86,0
195,3,-3.82,1.86,0
196,3,-3.86,1.86,0
197,3,-3.9,1.86,0
198,3,-3.94,1.86,0
199,3,-3.98,1.86,0
0,4,3.98,1.82,0
1,4,3.94,1.82,0
2,4,3.9,1.82,0
3,4,3.86,1.82,0
4,4,3.82,1.82,0
5,4,3.78,1.82,0
6,4,3.74,1.82,0
7,4,3.7,1.82,0
8,4,3.66,1.82,0
9,4,3.62,1.82,0
10,4,3.58,1.82,0
11,4,3.54,1.82,0
12,4,3.5,1.82,0
13,4,3.46,1.82,0
14,4,3.42,1.82,0
15,4,3.38,1.82,0
16,4,3.34,1.82,0
17,4,3.3,1.82,0
18,4,3.26,1.82,0
19,4,3.22,1.82,0
20,4,3.18,1.82,0
21,4,3.14,1.82,0
22,4,3.1,1.82,0
23,4,3.06,1.82,0
24,4,3.02,1.82,0
25,4,2.98,1.82,0
26,4,2.94,1.82,0
27,4,2.9,1.82,0
28,4,2.86,1.82,0
29,4,2.82,1.82,0
30,4,2.78,1.82,0
31,4,2.74,1.82,0
32,4,2.7,1.82,0
33,4,2.66,1.82,0
34,4,2.62,1.82,0
35,4,2.58,1.82,0
36,4,2.54,1.82,0
37,4,2.5,1.82,0
38,4,2.46,1.82,0
39,4,2.42,1.82,0
40,4,2.38,1.82,0
41,4,2.34,1.82,0
42,4,2.3,1.82,0
43,4,2.26,1.82,0
44,4,2.22,1.82,0
45,4,2.18,1.82,0
46,4,2.14,1.82,0
47,4,2.1,1.82,0
48,4,2.06,1.82,0
49,4,2.02,1.82,0.370000004768
50,4,1.98,1.82,0.370000004768
51,4,1.94,1.82,0.34999999404
52,4,1.9,1.82,0.34999999404
53,4,1.86,1.82,0.34999999404
54,4,1.82,1.82,0.34999999404
